ISIN,Fondo/PAC,Nome Strumento,Tipo,Ruolo,Categoria,Data sottoscrizione,Giorni da inizio,Importo iniziale EUR,PAC mensile EUR,Rate PAC stimate versate,Capitale versato EUR,Controvalore attuale EUR,Valore attuale EUR,Margine lordo EUR,Costo maturato stimato EUR,Bollo sottratto EUR,Margine netto EUR,Margine netto %,Costo annuo %,Rendimento atteso netto 3M %,Rendimento atteso netto 1Y %,Proiezione 3M base EUR,Guadagno stimato 3M EUR,Proiezione 1Y base EUR,Guadagno stimato 1Y EUR,Trend proxy,Proxy usato,Fonte valore,Fonte dato proxy,Decisione pratica,Motivo,Quando valutare switch,Nota costi,Aggiornato Roma
IE0003YRHWF4,Sustainable Future Connectivity FAM Fund,Sustainable Future Connectivity FAM Fund,PAC,Satellite tematico,Tecnologia e AI,2026-08-31,15,0.0,150.0,1,150.0,144.55,144.55,-5.34,0.11,6.0,-11.45,-7.63,1.8,4.22,18.0,606.94,0.94,2114.64,158.64,Positivo,WCLD.MI,Proxy live automatico,Yahoo/yfinance,Tieni / monitora,"Appena sottoscritto: ora la priorita' e' leggere correttamente controvalore, costi e primo andamento.","Rivaluta solo dopo 3-6 mesi di dati reali, meglio 12 mesi.",Proxy di mercato: sottratto costo annuo maturato stimato + bollo una tantum.,2026-09-15T21:42:06+02:00
IE00BD2PJG29,FAM MSCI Emerging Markets Index Fund,FAM MSCI Emerging Markets Index Fund,PAC,Satellite geografico,Emerging Markets,2026-08-31,15,0.0,150.0,1,150.0,147.86,147.86,-2.12,0.02,6.0,-8.14,-5.43,0.3,-0.24,-0.97,597.13,-8.87,1938.4,-17.6,Pressione breve,EIMI.MI,Proxy live automatico,Yahoo/yfinance,Tieni / monitora,"Appena sottoscritto: ora la priorita' e' leggere correttamente controvalore, costi e primo andamento.","Rivaluta solo dopo 3-6 mesi di dati reali, meglio 12 mesi.",Proxy di mercato: sottratto costo annuo maturato stimato + bollo una tantum.,2026-09-15T21:42:06+02:00
LU0981915779,Core Dividend,Core Dividend,Una tantum,Satellite income,Dividend globale,2026-08-31,15,5000.0,0.0,0,5000.0,4963.53,4963.53,-29.49,6.99,6.0,-42.47,-0.85,3.4,2.53,10.53,5089.31,83.31,5486.11,480.11,Laterale,VHYL.MI,Proxy live automatico,Yahoo/yfinance,"Tieni ora, sotto esame costi","Portafoglio appena partito: troppo presto per chiudere, ma il costo alto va verificato.",Valuta switch se tra 6-12 mesi resta sotto un'alternativa dividend/global meno costosa.,Proxy di mercato: sottratto costo annuo maturato stimato + bollo una tantum.,2026-09-15T21:42:06+02:00
IE0005TOUMC7,Fineco AM Passive Underlyings 7,Fineco AM Passive Underlyings 7,Una tantum,Core gestito,Multi asset,2026-08-31,15,5000.0,0.0,0,5000.0,4958.49,4958.49,-38.65,2.86,6.0,-47.51,-0.95,1.39,0.81,3.26,4998.43,-7.57,5120.17,114.17,Pressione breve,SWDA.MI,Proxy live automatico,Yahoo/yfinance,Tieni / monitora,"Appena sottoscritto: ora la priorita' e' leggere correttamente controvalore, costi e primo andamento.","Rivaluta solo dopo 3-6 mesi di dati reali, meglio 12 mesi.",Proxy di mercato: sottratto costo annuo maturato stimato + bollo una tantum.,2026-09-15T21:42:06+02:00
IE000KTYLDC4,Fineco AM Passive Underlyings 6,Fineco AM Passive Underlyings 6,Una tantum,Core gestito,Multi asset prudente,2026-08-31,15,5000.0,0.0,0,5000.0,4958.49,4958.49,-38.65,2.86,6.0,-47.51,-0.95,1.39,0.81,3.26,4998.43,-7.57,5120.17,114.17,Pressione breve,SWDA.MI,Proxy live automatico,Yahoo/yfinance,Tieni / monitora,"Appena sottoscritto: ora la priorita' e' leggere correttamente controvalore, costi e primo andamento.","Rivaluta solo dopo 3-6 mesi di dati reali, meglio 12 mesi.",Proxy di mercato: sottratto costo annuo maturato stimato + bollo una tantum.,2026-09-15T21:42:06+02:00
IE000DWG3DP6,Fineco AM Passive Underlyings 8,Fineco AM Passive Underlyings 8,Una tantum,Core gestito,Multi asset crescita,2026-08-31,15,5000.0,0.0,0,5000.0,4958.49,4958.49,-38.65,2.86,6.0,-47.51,-0.95,1.39,0.81,3.26,4998.43,-7.57,5120.17,114.17,Pressione breve,SWDA.MI,Proxy live automatico,Yahoo/yfinance,Tieni / monitora,"Appena sottoscritto: ora la priorita' e' leggere correttamente controvalore, costi e primo andamento.","Rivaluta solo dopo 3-6 mesi di dati reali, meglio 12 mesi.",Proxy di mercato: sottratto costo annuo maturato stimato + bollo una tantum.,2026-09-15T21:42:06+02:00
LU0261952682,Fidelity Euro 50 Index Fund,Fidelity Euro 50 Index Fund,Una tantum,Satellite Europa,Europa,2026-08-31,15,5000.0,0.0,0,5000.0,4827.77,4827.77,-171.62,0.62,6.0,-178.23,-3.56,0.3,-1.08,-4.25,4775.57,-230.43,4622.36,-383.64,Pressione breve,EXSA.DE,Proxy live automatico,Yahoo/yfinance,Tieni / monitora,"Appena sottoscritto: ora la priorita' e' leggere correttamente controvalore, costi e primo andamento.","Rivaluta solo dopo 3-6 mesi di dati reali, meglio 12 mesi.",Proxy di mercato: sottratto costo annuo maturato stimato + bollo una tantum.,2026-09-15T21:42:06+02:00
