ISIN,Fondo/PAC,Nome Strumento,Tipo,Ruolo,Categoria,Data sottoscrizione,Giorni da inizio,Importo iniziale EUR,PAC mensile EUR,Rate PAC stimate versate,Capitale versato EUR,Controvalore attuale EUR,Valore attuale EUR,Margine lordo EUR,Costo maturato stimato EUR,Bollo sottratto EUR,Margine netto EUR,Margine netto %,Costo annuo %,Rendimento atteso netto 3M %,Rendimento atteso netto 1Y %,Proiezione 3M base EUR,Guadagno stimato 3M EUR,Proiezione 1Y base EUR,Guadagno stimato 1Y EUR,Trend proxy,Proxy usato,Fonte valore,Fonte dato proxy,Decisione pratica,Motivo,Quando valutare switch,Nota costi,Aggiornato Roma
IE0003YRHWF4,Sustainable Future Connectivity FAM Fund,Sustainable Future Connectivity FAM Fund,PAC,Satellite tematico,Tecnologia e AI,2026-08-31,25,0.0,150.0,1,150.0,147.03,147.03,-2.78,0.18,6.0,-8.97,-5.98,1.8,4.22,18.0,609.52,3.52,2117.56,161.56,Laterale,WCLD.MI,Proxy live automatico,Yahoo/yfinance,Tieni / monitora,"Appena sottoscritto: ora la priorita' e' leggere correttamente controvalore, costi e primo andamento.","Rivaluta solo dopo 3-6 mesi di dati reali, meglio 12 mesi.",Proxy di mercato: sottratto costo annuo maturato stimato + bollo una tantum.,2026-09-25T14:48:21+02:00
IE00BD2PJG29,FAM MSCI Emerging Markets Index Fund,FAM MSCI Emerging Markets Index Fund,PAC,Satellite geografico,Emerging Markets,2026-08-31,25,0.0,150.0,1,150.0,154.29,154.29,4.32,0.03,6.0,-1.71,-1.14,0.3,4.22,18.0,617.09,11.09,2126.13,170.13,Rimbalzo breve,EIMI.MI,Proxy live automatico,Yahoo/yfinance,Tieni / monitora,"Appena sottoscritto: ora la priorita' e' leggere correttamente controvalore, costi e primo andamento.","Rivaluta solo dopo 3-6 mesi di dati reali, meglio 12 mesi.",Proxy di mercato: sottratto costo annuo maturato stimato + bollo una tantum.,2026-09-25T14:48:21+02:00
LU0981915779,Core Dividend,Core Dividend,Una tantum,Satellite income,Dividend globale,2026-08-31,25,5000.0,0.0,0,5000.0,4962.57,4962.57,-25.79,11.64,6.0,-43.43,-0.87,3.4,2.85,11.91,5104.11,98.11,5553.44,547.44,Laterale,VHYL.MI,Proxy live automatico,Yahoo/yfinance,"Tieni ora, sotto esame costi","Portafoglio appena partito: troppo presto per chiudere, ma il costo alto va verificato.",Valuta switch se tra 6-12 mesi resta sotto un'alternativa dividend/global meno costosa.,Proxy di mercato: sottratto costo annuo maturato stimato + bollo una tantum.,2026-09-25T14:48:21+02:00
IE0005TOUMC7,Fineco AM Passive Underlyings 7,Fineco AM Passive Underlyings 7,Una tantum,Core gestito,Multi asset,2026-08-31,25,5000.0,0.0,0,5000.0,5084.77,5084.77,89.53,4.76,6.0,78.77,1.58,1.39,3.85,16.32,5280.57,274.57,5914.39,908.39,Laterale,SWDA.MI,Proxy live automatico,Yahoo/yfinance,Tieni / monitora,"Appena sottoscritto: ora la priorita' e' leggere correttamente controvalore, costi e primo andamento.","Rivaluta solo dopo 3-6 mesi di dati reali, meglio 12 mesi.",Proxy di mercato: sottratto costo annuo maturato stimato + bollo una tantum.,2026-09-25T14:48:21+02:00
IE000KTYLDC4,Fineco AM Passive Underlyings 6,Fineco AM Passive Underlyings 6,Una tantum,Core gestito,Multi asset prudente,2026-08-31,25,5000.0,0.0,0,5000.0,5084.77,5084.77,89.53,4.76,6.0,78.77,1.58,1.39,3.85,16.32,5280.57,274.57,5914.39,908.39,Laterale,SWDA.MI,Proxy live automatico,Yahoo/yfinance,Tieni / monitora,"Appena sottoscritto: ora la priorita' e' leggere correttamente controvalore, costi e primo andamento.","Rivaluta solo dopo 3-6 mesi di dati reali, meglio 12 mesi.",Proxy di mercato: sottratto costo annuo maturato stimato + bollo una tantum.,2026-09-25T14:48:21+02:00
IE000DWG3DP6,Fineco AM Passive Underlyings 8,Fineco AM Passive Underlyings 8,Una tantum,Core gestito,Multi asset crescita,2026-08-31,25,5000.0,0.0,0,5000.0,5084.77,5084.77,89.53,4.76,6.0,78.77,1.58,1.39,3.85,16.32,5280.57,274.57,5914.39,908.39,Laterale,SWDA.MI,Proxy live automatico,Yahoo/yfinance,Tieni / monitora,"Appena sottoscritto: ora la priorita' e' leggere correttamente controvalore, costi e primo andamento.","Rivaluta solo dopo 3-6 mesi di dati reali, meglio 12 mesi.",Proxy di mercato: sottratto costo annuo maturato stimato + bollo una tantum.,2026-09-25T14:48:21+02:00
LU0261952682,Fidelity Euro 50 Index Fund,Fidelity Euro 50 Index Fund,Una tantum,Satellite Europa,Europa,2026-08-31,25,5000.0,0.0,0,5000.0,4922.71,4922.71,-76.26,1.03,6.0,-83.29,-1.67,0.3,1.22,4.95,4982.53,-23.47,5166.41,160.41,Laterale,EXSA.DE,Proxy live automatico,Yahoo/yfinance,Tieni / monitora,"Appena sottoscritto: ora la priorita' e' leggere correttamente controvalore, costi e primo andamento.","Rivaluta solo dopo 3-6 mesi di dati reali, meglio 12 mesi.",Proxy di mercato: sottratto costo annuo maturato stimato + bollo una tantum.,2026-09-25T14:48:21+02:00
